suburb,postcode,region,pricingClassification,active,source
BANKSIADALE,6213,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BANNISTER,6390,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BARRAGUP,6209,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BARRAGUP,6210,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BASKERVILLE,6056,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BASSENDEAN,6054,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BASSENDEAN,6934,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BASSENDEAN DC,6054,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BASSENDEAN DC,6942,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BATEMAN,6150,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BAYSWATER,6053,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BAYSWATER,6933,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BEACONSFIELD,6162,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BECKENHAM,6107,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BEDFORD,6052,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BEDFORDALE,6112,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BEECHBORO,6063,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BEELIAR,6164,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BELDON,6027,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BELHUS,6069,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BELLEVUE,6056,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BELMONT,6104,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BELMONT,6984,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BENNETT SPRINGS,6063,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BENTLEY,6102,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BENTLEY,6982,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BENTLEY DC,6102,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BENTLEY DC,6983,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BENTLEY SOUTH,6102,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BERTRAM,6167,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BIBRA LAKE,6163,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BIBRA LAKE DC,6163,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BIBRA LAKE DC,6965,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BICKLEY,6076,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BICTON,6157,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BIRCHMONT,6214,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BLYTHEWOOD,6208,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BODDINGTON,6390,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BOORAGOON,6154,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BOORAGOON,6954,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BORANING,6391,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BOUVARD,6210,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BOUVARD,6211,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BOYA,6056,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BRABHAM,6055,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BRENTWOOD,6153,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BRIGADOON,6069,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BROADWAY NEDLANDS,6009,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BROOKDALE,6112,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BULL CREEK,6149,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BURNS BEACH,6028,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BURSWOOD,6100,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BUSHMEAD,6055,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BUTLER,6036,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
BYFORD,6122,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CALISTA,6167,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CAMILLO,6111,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CANNING BRIDGE APPLECROSS,6153,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CANNING MILLS,6111,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CANNING VALE,6155,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CANNING VALE DC,6155,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CANNING VALE DC,6970,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CANNING VALE SOUTH,6155,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CANNINGTON,6107,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CANNINGTON,6980,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CANNINGTON,6987,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CARABOODA,6033,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CARDUP,6122,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CARINE,6020,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CARLISLE,6101,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CARLISLE NORTH,6101,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CARLISLE SOUTH,6101,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CARMEL,6076,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CARRAMAR,6031,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CASUARINA,6167,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CAVERSHAM,6055,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CHAMPION LAKES,6111,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CHURCHLANDS,6018,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CITY BEACH,6015,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CITY DELIVERY CENTRE,6000,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CLAREMONT,6010,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CLAREMONT,6910,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CLAREMONT NORTH,6010,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CLARKSON,6030,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CLIFTON,6210,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CLIFTON,6211,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CLOISTERS SQUARE PO,6850,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CLOVERDALE,6105,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
COCKBURN CENTRAL,6164,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
COMO,6152,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
COMO,6952,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CONGELIN,6391,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CONNOLLY,6027,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
COODANUP,6210,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
COOGEE,6166,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
COOLBELLUP,6163,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
COOLBINIA,6050,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
COOLOONGUP,6168,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
COOLUP,6214,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
COTTESLOE,6011,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
COTTESLOE,6911,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CRAIGIE,6025,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CRAWLEY,6009,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CROSSMAN,6390,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CULBIN,6391,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CULLACABARDEE,6067,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
CURRAMBINE,6028,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
DAGLISH,6008,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
DALKEITH,6009,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
DARCH,6065,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
DARLING DOWNS,6122,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
DARLINGTON,6070,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
DAWESVILLE,6210,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
DAWESVILLE,6211,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
DAYTON,6055,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
DIANELLA,6059,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
DOG SWAMP,6060,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
DOOBARDA,6112,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
DOUBLEVIEW,6018,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
DUDLEY PARK,6210,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
DUNCRAIG,6023,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
DWELLINGUP,6213,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
EAST CANNINGTON,6107,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
EAST FREMANTLE,6158,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
EAST PERTH,6004,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
EAST PERTH,6892,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
EAST ROCKINGHAM,6168,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
EAST VICTORIA PARK,6101,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
EAST VICTORIA PARK,6981,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
EDEN HILL,6054,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
EDGEWATER,6027,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
EGLINTON,6034,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
ELLENBROOK,6069,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
ELLENBROOK EAST,6069,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
EMBLETON,6062,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
ERSKINE,6210,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
ETMILYN,6213,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
FAIRBRIDGE,6208,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
FALCON,6210,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
FERNDALE,6148,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
FLOREAT,6014,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
FLOREAT FORUM,6014,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
FORRESTDALE,6112,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
FORRESTFIELD,6058,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
FREMANTLE,6160,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
FREMANTLE,6959,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
FURNISSDALE,6209,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
FURNISSDALE,6210,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
GARDEN ISLAND,6168,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
GERALDTON,6531,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
GIDGEGANNUP,6083,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
GIRRAWHEEN,6064,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
GLEN FORREST,6071,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
GLENDALOUGH,6016,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
GLENGARRY,6023,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
GNANGARA,6065,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
GNANGARA,6077,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
GOLDEN BAY,6174,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
GOOSEBERRY HILL,6076,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
GOSNELLS,6110,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
GOSNELLS,6990,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
GREENFIELDS,6210,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
GREENMOUNT,6056,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
GREENWOOD,6024,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
GREENWOOD,6924,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
GUILDFORD,6055,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
GUILDFORD,6935,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
GWELUP,6018,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
GWELUP DC,6018,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HACKETTS GULLY,6076,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HALLS HEAD,6210,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HAMEL,6215,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HAMERSLEY,6022,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HAMILTON HILL,6163,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HAMILTON HILL,6963,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HAMMOND PARK,6164,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HARRISDALE,6112,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HAYNES,6112,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HAZELMERE,6055,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HEATHRIDGE,6027,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HELENA VALLEY,6056,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HENDERSON,6166,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HENLEY BROOK,6055,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HERDSMAN,6017,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HERNE HILL,6056,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HERRON,6210,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HERRON,6211,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HIGH WYCOMBE,6057,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HIGHGATE,6003,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HILBERT,6112,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HILLARYS,6025,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HILLARYS,6923,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HILLMAN,6168,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HILLMAN RIVER,6391,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HILTON,6163,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HOCKING,6065,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HOLYOAKE,6213,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HOPE VALLEY,6165,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HOPELAND,6125,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HOVEA,6071,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
HUNTINGDALE,6110,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
ILUKA,6028,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
INGLEHOPE,6213,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
INGLEWOOD,6052,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
INGLEWOOD,6932,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
INNALOO,6018,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
INNALOO,6918,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
JANDABUP,6065,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
JANDABUP,6077,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
JANDAKOT,6164,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
JANE BROOK,6056,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
JARRAHDALE,6124,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
JINDALEE,6036,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
JOLIMONT,6014,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
JOONDALUP,6027,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
JOONDALUP DC,6027,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
JOONDALUP DC,6919,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
JOONDANNA,6060,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KALAMUNDA,6076,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KALAMUNDA,6926,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KALLAROO,6025,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KARAWARA,6152,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KARDINYA,6163,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KARNUP,6176,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KARRAGULLEN,6111,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KARRAKATTA,6010,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KARRAKUP,6122,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KARRINYUP,6018,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KARRINYUP,6921,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KELMSCOTT,6111,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KELMSCOTT,6991,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KELMSCOTT DC,6111,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KELMSCOTT DC,6997,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KENSINGTON,6151,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KENWICK,6107,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KERALUP,6182,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KEWDALE,6105,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KEYSBROOK,6126,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KIARA,6054,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KINGS PARK,6005,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KINGSLEY,6026,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KINGSWAY,6065,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KINROSS,6028,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KOONDOOLA,6064,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KOONGAMIA,6056,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KWINANA,6966,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KWINANA BEACH,6167,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
KWINANA TOWN CENTRE,6167,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
LAKE CLIFTON,6215,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
LAKE COOGEE,6166,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
LAKELANDS,6180,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
LAKELANDS,6210,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
LANDSDALE,6065,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
LANGFORD,6147,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
LATHLAIN,6100,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
LEDA,6170,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
LEEDERVILLE,6007,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
LEEDERVILLE,6900,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
LEEDERVILLE,6902,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
LEEDERVILLE,6903,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
LEEMING,6149,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
LESLEY,6111,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
LESMURDIE,6076,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
LEXIA,6065,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
LEXIA,6079,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
LOCKRIDGE,6054,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
LOWER HOTHAM,6390,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
LYNWOOD,6147,Perth and Peel Region,perth_peel,true,Rent On Time - Service Areas.xlsx
